region,year,sown_area
Bulgan,1960,16.9
Darkhan-Uul,1960,0.0
Dornod,1960,18.71
Khentii,1960,7.08
Khuvsgul,1960,22.41
Selenge,1960,94.39
Sukhbaatar,1960,3.49
Tuv,1960,38.53
Uvs,1960,15.34
Uvurkhangai,1960,18.58
Bulgan,1961,24.17
Darkhan-Uul,1961,0.0
Dornod,1961,25.86
Khentii,1961,11.38
Khuvsgul,1961,24.89
Selenge,1961,135.88
Sukhbaatar,1961,13.7
Tuv,1961,61.07
Uvs,1961,21.01
Uvurkhangai,1961,23.25
Bulgan,1962,26.95
Darkhan-Uul,1962,0.0
Dornod,1962,38.37
Khentii,1962,16.3
Khuvsgul,1962,30.9
Selenge,1962,121.43
Sukhbaatar,1962,16.22
Tuv,1962,94.1
Uvs,1962,24.3
Uvurkhangai,1962,21.6
Bulgan,1963,30.39
Darkhan-Uul,1963,0.0
Dornod,1963,37.59
Khentii,1963,19.82
Khuvsgul,1963,25.17
Selenge,1963,125.3
Sukhbaatar,1963,18.39
Tuv,1963,109.62
Uvs,1963,21.1
Uvurkhangai,1963,22.48
Bulgan,1964,28.16
Darkhan-Uul,1964,0.0
Dornod,1964,42.32
Khentii,1964,22.12
Khuvsgul,1964,25.44
Selenge,1964,126.84
Sukhbaatar,1964,17.37
Tuv,1964,112.35
Uvs,1964,18.44
Uvurkhangai,1964,18.95
Bulgan,1965,27.62
Darkhan-Uul,1965,0.0
Dornod,1965,43.24
Khentii,1965,23.69
Khuvsgul,1965,28.07
Selenge,1965,133.32
Sukhbaatar,1965,15.3
Tuv,1965,110.44
Uvs,1965,21.48
Uvurkhangai,1965,24.26
Bulgan,1966,29.32
Darkhan-Uul,1966,0.0
Dornod,1966,39.62
Khentii,1966,22.82
Khuvsgul,1966,27.89
Selenge,1966,130.53
Sukhbaatar,1966,12.24
Tuv,1966,107.72
Uvs,1966,18.54
Uvurkhangai,1966,22.38
Bulgan,1967,32.21
Darkhan-Uul,1967,0.0
Dornod,1967,33.75
Khentii,1967,25.42
Khuvsgul,1967,26.84
Selenge,1967,136.78
Sukhbaatar,1967,12.86
Tuv,1967,109.49
Uvs,1967,23.3
Uvurkhangai,1967,25.6
Bulgan,1968,32.86
Darkhan-Uul,1968,0.0
Dornod,1968,30.03
Khentii,1968,32.02
Khuvsgul,1968,29.86
Selenge,1968,136.88
Sukhbaatar,1968,13.01
Tuv,1968,109.6
Uvs,1968,25.74
Uvurkhangai,1968,26.16
Bulgan,1969,31.27
Darkhan-Uul,1969,0.0
Dornod,1969,28.48
Khentii,1969,30.2
Khuvsgul,1969,29.75
Selenge,1969,141.61
Sukhbaatar,1969,13.13
Tuv,1969,112.3
Uvs,1969,24.1
Uvurkhangai,1969,27.04
Bulgan,1970,29.7
Darkhan-Uul,1970,0.0
Dornod,1970,23.31
Khentii,1970,28.25
Khuvsgul,1970,26.58
Selenge,1970,141.71
Sukhbaatar,1970,12.0
Tuv,1970,104.74
Uvs,1970,20.06
Uvurkhangai,1970,21.54
Bulgan,1971,29.75
Darkhan-Uul,1971,0.0
Dornod,1971,18.43
Khentii,1971,26.71
Khuvsgul,1971,26.01
Selenge,1971,139.44
Sukhbaatar,1971,9.71
Tuv,1971,120.72
Uvs,1971,19.91
Uvurkhangai,1971,23.61
Bulgan,1972,30.31
Darkhan-Uul,1972,0.0
Dornod,1972,18.18
Khentii,1972,26.22
Khuvsgul,1972,25.27
Selenge,1972,138.95
Sukhbaatar,1972,9.82
Tuv,1972,119.71
Uvs,1972,22.16
Uvurkhangai,1972,25.31
Bulgan,1973,30.44
Darkhan-Uul,1973,0.0
Dornod,1973,19.37
Khentii,1973,27.35
Khuvsgul,1973,25.14
Selenge,1973,145.27
Sukhbaatar,1973,10.4
Tuv,1973,123.0
Uvs,1973,21.73
Uvurkhangai,1973,25.19
Bulgan,1974,31.32
Darkhan-Uul,1974,0.19
Dornod,1974,19.75
Khentii,1974,25.59
Khuvsgul,1974,23.84
Selenge,1974,148.76
Sukhbaatar,1974,10.35
Tuv,1974,123.12
Uvs,1974,22.01
Uvurkhangai,1974,25.5
Bulgan,1975,31.4
Darkhan-Uul,1975,0.24
Dornod,1975,21.84
Khentii,1975,24.67
Khuvsgul,1975,23.93
Selenge,1975,155.11
Sukhbaatar,1975,10.84
Tuv,1975,127.55
Uvs,1975,25.67
Uvurkhangai,1975,25.27
Bulgan,1976,33.24
Darkhan-Uul,1976,0.26
Dornod,1976,24.34
Khentii,1976,24.73
Khuvsgul,1976,24.42
Selenge,1976,160.43
Sukhbaatar,1976,10.92
Tuv,1976,136.36
Uvs,1976,28.89
Uvurkhangai,1976,25.67
Bulgan,1977,32.86
Darkhan-Uul,1977,0.26
Dornod,1977,27.77
Khentii,1977,28.06
Khuvsgul,1977,26.46
Selenge,1977,171.56
Sukhbaatar,1977,10.76
Tuv,1977,152.66
Uvs,1977,38.4
Uvurkhangai,1977,26.35
Bulgan,1978,43.5
Darkhan-Uul,1978,0.33
Dornod,1978,29.82
Khentii,1978,38.52
Khuvsgul,1978,22.76
Selenge,1978,204.55
Sukhbaatar,1978,11.34
Tuv,1978,179.76
Uvs,1978,37.48
Uvurkhangai,1978,26.92
Bulgan,1979,44.7
Darkhan-Uul,1979,3.91
Dornod,1979,30.28
Khentii,1979,42.69
Khuvsgul,1979,23.53
Selenge,1979,201.74
Sukhbaatar,1979,11.72
Tuv,1979,185.7
Uvs,1979,33.77
Uvurkhangai,1979,29.55
Bulgan,1980,45.95
Darkhan-Uul,1980,0.46
Dornod,1980,32.26
Khentii,1980,42.96
Khuvsgul,1980,24.2
Selenge,1980,198.14
Sukhbaatar,1980,12.94
Tuv,1980,182.3
Uvs,1980,35.08
Uvurkhangai,1980,29.74
Bulgan,1981,45.99
Darkhan-Uul,1981,23.57
Dornod,1981,31.81
Khentii,1981,39.29
Khuvsgul,1981,23.94
Selenge,1981,168.7
Sukhbaatar,1981,13.26
Tuv,1981,171.89
Uvs,1981,34.92
Uvurkhangai,1981,28.91
Bulgan,1982,45.73
Darkhan-Uul,1982,24.67
Dornod,1982,27.71
Khentii,1982,29.95
Khuvsgul,1982,24.58
Selenge,1982,175.75
Sukhbaatar,1982,10.83
Tuv,1982,150.54
Uvs,1982,34.68
Uvurkhangai,1982,26.37
Bulgan,1983,54.3
Darkhan-Uul,1983,24.04
Dornod,1983,32.11
Khentii,1983,42.52
Khuvsgul,1983,29.21
Selenge,1983,187.83
Sukhbaatar,1983,13.32
Tuv,1983,164.94
