year,country,count
2007,Austria,0
2007,Canada,5
2007,China,87
2007,Federal Republic of Germany,436
2007,Japan,18857
2007,Other,60
2007,Republic of Korea,2222
2007,Russian Federation,194
2007,Thailand,0
2007,United Kingdom,143
2007,United States of America,0
2008,Austria,0
2008,Canada,1
2008,China,79
2008,Federal Republic of Germany,799
2008,Japan,31167
2008,Other,80
2008,Republic of Korea,5591
2008,Russian Federation,333
2008,Thailand,31
2008,United Kingdom,160
2008,United States of America,0
2009,Austria,0
2009,Canada,1
2009,China,9
2009,Federal Republic of Germany,292
2009,Japan,9047
2009,Other,154
2009,Republic of Korea,1701
2009,Russian Federation,101
2009,Thailand,15
2009,United Kingdom,131
2009,United States of America,0
2010,Austria,0
2010,Canada,0
2010,China,89
2010,Federal Republic of Germany,537
2010,Japan,22233
2010,Other,126
2010,Republic of Korea,2656
2010,Russian Federation,212
2010,Thailand,34
2010,United Kingdom,179
2010,United States of America,0
2011,Austria,0
2011,Canada,2
2011,China,128
2011,Federal Republic of Germany,1458
2011,Japan,44011
2011,Other,158
2011,Republic of Korea,10371
2011,Russian Federation,209
2011,Thailand,64
2011,United Kingdom,404
2011,United States of America,0
2012,Austria,0
2012,Canada,5
2012,China,44
2012,Federal Republic of Germany,1096
2012,Japan,34942
2012,Other,140
2012,Republic of Korea,9069
2012,Russian Federation,155
2012,Thailand,50
2012,United Kingdom,247
2012,United States of America,0
2013,Austria,2
2013,Canada,3
2013,China,27
2013,Federal Republic of Germany,830
2013,Japan,37275
2013,Other,65
2013,Republic of Korea,5732
2013,Russian Federation,140
2013,Thailand,34
2013,United Kingdom,115
2013,United States of America,457
2014,Austria,1
2014,Canada,3
2014,China,19
2014,Federal Republic of Germany,423
2014,Japan,37783
2014,Other,66
2014,Republic of Korea,2458
2014,Russian Federation,31
2014,Thailand,18
2014,United Kingdom,99
2014,United States of America,345
2015,Austria,14
2015,Canada,21
2015,China,4
2015,Federal Republic of Germany,248
2015,Japan,33825
2015,Other,39
2015,Republic of Korea,2568
2015,Russian Federation,84
2015,Thailand,4
2015,United Kingdom,94
2015,United States of America,185
2016,Austria,1
2016,Canada,15
2016,China,26
2016,Federal Republic of Germany,260
2016,Japan,33038
2016,Other,77
2016,Republic of Korea,3959
2016,Russian Federation,65
2016,Thailand,19
2016,United Kingdom,36
2016,United States of America,239
2017,Austria,28
2017,Canada,34
2017,China,76
2017,Federal Republic of Germany,315
2017,Japan,45050
2017,Other,55
2017,Republic of Korea,2927
2017,Russian Federation,167
2017,Thailand,1
2017,United Kingdom,75
2017,United States of America,142
2018,Austria,28
2018,Canada,253
2018,China,127
2018,Federal Republic of Germany,722
2018,Japan,59918
2018,Other,123
2018,Republic of Korea,2096
2018,Russian Federation,228
2018,Thailand,20
2018,United Kingdom,112
2018,United States of America,412
2019,Austria,135
2019,Canada,337
2019,China,54
2019,Federal Republic of Germany,845
2019,Japan,65372
2019,Other,196
2019,Republic of Korea,1295
2019,Russian Federation,539
2019,Thailand,93
2019,United Kingdom,121
2019,United States of America,485
2020,Austria,147
2020,Canada,267
2020,China,128
2020,Federal Republic of Germany,719
2020,Japan,49779
2020,Other,218
2020,Republic of Korea,840
2020,Russian Federation,226
2020,Thailand,69
2020,United Kingdom,125
2020,United States of America,569
2021,Austria,145
2021,Canada,266
2021,China,239
2021,Federal Republic of Germany,595
2021,Japan,52014
2021,Other,200
2021,Republic of Korea,876
2021,Russian Federation,141
2021,Thailand,32
2021,United Kingdom,116
2021,United States of America,614
2022,Austria,206
2022,Canada,259
2022,China,1550
2022,Federal Republic of Germany,924
2022,Japan,60160
2022,Other,299
2022,Republic of Korea,1094
2022,Russian Federation,100
2022,Thailand,72
2022,United Kingdom,125
2022,United States of America,823
2023,Austria,207
2023,Canada,93
2023,China,2050
2023,Federal Republic of Germany,936
2023,Japan,67843
2023,Other,298
2023,Republic of Korea,1267
2023,Russian Federation,4
2023,Thailand,32
2023,United Kingdom,161
2023,United States of America,665
2024,Austria,77
2024,Canada,166
2024,China,3546
2024,Federal Republic of Germany,1180
2024,Japan,114780
2024,Other,510
2024,Republic of Korea,1365
2024,Russian Federation,55
2024,Thailand,52
2024,United Kingdom,208
2024,United States of America,1150
2025,Austria,161
2025,Canada,140
2025,China,3924
2025,Federal Republic of Germany,919
2025,Japan,82811
2025,Other,302
2025,Republic of Korea,848
2025,Russian Federation,19
2025,Thailand,51
2025,United Kingdom,155
2025,United States of America,1076
