country,year,imports_usd_mn
Afghanistan,2005,0.0
Albania,2005,0.0
Algeria,2005,0.0
Argentina,2005,3788.6
Armenia,2005,0.0
Aruba,2005,0.9
Australia,2005,29824.6
Austria,2005,875.9
Azerbaijan,2005,0.0
Bahamas,2005,0.0
Bahrain,2005,0.1
Bangladesh,2005,430.6
Belarus,2005,5075.6
Belgium,2005,4677.5
Bosnia and Herzegovina,2005,0.0
Brazil,2005,2378.7
Bulgaria,2005,1633.7
Cambodia,2005,0.8
Canada,2005,17301.6
Chad,2005,0.0
Chile,2005,20.7
China,2005,303248.1
Colombia,2005,0.0
Costa Rica,2005,2.5
Croatia,2005,0.0
Cuba,2005,4.2
Cyprus,2005,161.1
Czech Republic,2005,5103.3
DPR Korea,2005,35.1
Denmark,2005,3273.2
Dominican Republic,2005,4.8
Ecuador,2005,0.0
Egypt,2005,48.7
El Salvador,2005,0.0
Estonia,2005,1780.9
Ethiopia,2005,0.0
Fiji,2005,0.0
Finland,2005,2824.2
France,2005,29352.3
Georgia,2005,403.6
Germany,2005,37600.7
Greece,2005,82.7
Greenland,2005,0.0
Guatemala,2005,686.5
Haiti,2005,0.0
Honduras,2005,0.0
Hungary,2005,3363.4
Iceland,2005,96.9
India,2005,1518.2
Indonesia,2005,3227.1
Iran,2005,598.9
Ireland,2005,288.0
Israel,2005,8142.5
Italy,2005,3430.3
Jamaica,2005,0.0
Japan,2005,75500.9
Jordan,2005,0.0
Kazakhstan,2005,40537.9
Kenya,2005,0.0
Kirgizstan,2005,1132.2
Kuwait,2005,54.2
Lao PDR,2005,0.0
Latvia,2005,1705.9
Liechtenstein,2005,0.0
Lithuania,2005,456.9
Luxemburg,2005,71.6
Macedonia,2005,0.0
Madagascar,2005,0.0
Malaysia,2005,6966.1
Mali,2005,0.0
Malta,2005,28.6
Mauritania,2005,0.0
Mauritius,2005,0.0
Mexico,2005,112.8
Moldavia,2005,13.1
Monaco,2005,1.3
Morocco,2005,0.5
Myanmar,2005,0.0
Namibia,2005,0.0
Nepal,2005,1.1
Netherlands,2005,3115.3
