year,region,physicians
1989,Arkhangai,149
1989,Bayan-Ulgii,133
1989,Bayankhongor,110
1989,Bulgan,109
1989,Darkhan-Uul,225
1989,Dornod,127
1989,Dornogovi,109
1989,Dundgovi,102
1989,Govi-Altai,122
1989,Govisumber,0
1989,Khentii,130
1989,Khovd,114
1989,Khuvsgul,151
1989,Orkhon,135
1989,Selenge,133
1989,Sukhbaatar,98
1989,Tuv,174
1989,Ulaanbaatar,2820
1989,Umnugovi,91
1989,Uvs,131
1989,Uvurkhangai,152
1989,Zavkhan,149
1990,Arkhangai,152
1990,Bayan-Ulgii,146
1990,Bayankhongor,112
1990,Bulgan,111
1990,Darkhan-Uul,229
1990,Dornod,129
1990,Dornogovi,104
1990,Dundgovi,110
1990,Govi-Altai,126
1990,Govisumber,0
1990,Khentii,129
1990,Khovd,122
1990,Khuvsgul,163
1990,Orkhon,147
1990,Selenge,135
1990,Sukhbaatar,101
1990,Tuv,195
1990,Ulaanbaatar,3125
1990,Umnugovi,90
1990,Uvs,133
1990,Uvurkhangai,163
1990,Zavkhan,153
1991,Arkhangai,155
1991,Bayan-Ulgii,149
1991,Bayankhongor,110
1991,Bulgan,110
1991,Darkhan-Uul,224
1991,Dornod,120
1991,Dornogovi,106
1991,Dundgovi,111
1991,Govi-Altai,127
1991,Govisumber,0
1991,Khentii,120
1991,Khovd,123
1991,Khuvsgul,164
1991,Orkhon,151
1991,Selenge,118
1991,Sukhbaatar,104
1991,Tuv,170
1991,Ulaanbaatar,3139
1991,Umnugovi,90
1991,Uvs,139
1991,Uvurkhangai,168
1991,Zavkhan,153
1992,Arkhangai,149
1992,Bayan-Ulgii,127
1992,Bayankhongor,104
1992,Bulgan,99
1992,Darkhan-Uul,245
1992,Dornod,127
1992,Dornogovi,89
1992,Dundgovi,107
1992,Govi-Altai,118
1992,Govisumber,10
1992,Khentii,117
1992,Khovd,122
1992,Khuvsgul,173
1992,Orkhon,151
1992,Selenge,107
1992,Sukhbaatar,101
1992,Tuv,146
1992,Ulaanbaatar,2726
1992,Umnugovi,84
1992,Uvs,144
1992,Uvurkhangai,178
1992,Zavkhan,157
1993,Arkhangai,145
1993,Bayan-Ulgii,122
1993,Bayankhongor,108
1993,Bulgan,92
1993,Darkhan-Uul,221
1993,Dornod,124
1993,Dornogovi,90
1993,Dundgovi,9
1993,Govi-Altai,108
1993,Govisumber,12
1993,Khentii,108
1993,Khovd,130
1993,Khuvsgul,160
1993,Orkhon,151
1993,Selenge,115
1993,Sukhbaatar,97
1993,Tuv,126
1993,Ulaanbaatar,2649
1993,Umnugovi,83
1993,Uvs,158
1993,Uvurkhangai,169
1993,Zavkhan,145
1994,Arkhangai,139
1994,Bayan-Ulgii,114
1994,Bayankhongor,105
1994,Bulgan,98
1994,Darkhan-Uul,240
1994,Dornod,132
1994,Dornogovi,87
1994,Dundgovi,96
1994,Govi-Altai,110
1994,Govisumber,15
1994,Khentii,112
1994,Khovd,135
1994,Khuvsgul,200
1994,Orkhon,159
1994,Selenge,108
1994,Sukhbaatar,89
1994,Tuv,131
1994,Ulaanbaatar,3085
1994,Umnugovi,81
1994,Uvs,131
1994,Uvurkhangai,165
1994,Zavkhan,142
1995,Arkhangai,144
1995,Bayan-Ulgii,121
1995,Bayankhongor,114
1995,Bulgan,103
1995,Darkhan-Uul,244
1995,Dornod,133
1995,Dornogovi,90
1995,Dundgovi,93
1995,Govi-Altai,114
1995,Govisumber,24
1995,Khentii,109
1995,Khovd,123
1995,Khuvsgul,177
1995,Orkhon,178
1995,Selenge,132
1995,Sukhbaatar,90
1995,Tuv,130
1995,Ulaanbaatar,2850
1995,Umnugovi,75
1995,Uvs,147
1995,Uvurkhangai,170
1995,Zavkhan,139
1996,Arkhangai,155
1996,Bayan-Ulgii,123
1996,Bayankhongor,120
1996,Bulgan,104
1996,Darkhan-Uul,242
1996,Dornod,131
1996,Dornogovi,108
1996,Dundgovi,99
1996,Govi-Altai,115
1996,Govisumber,29
1996,Khentii,111
1996,Khovd,125
1996,Khuvsgul,177
1996,Orkhon,206
1996,Selenge,146
1996,Sukhbaatar,99
1996,Tuv,139
1996,Ulaanbaatar,3215
1996,Umnugovi,74
1996,Uvs,150
1996,Uvurkhangai,173
1996,Zavkhan,146
1997,Arkhangai,140
1997,Bayan-Ulgii,126
1997,Bayankhongor,111
1997,Bulgan,100
1997,Darkhan-Uul,236
1997,Dornod,139
1997,Dornogovi,103
1997,Dundgovi,88
1997,Govi-Altai,116
1997,Govisumber,33
1997,Khentii,107
1997,Khovd,120
1997,Khuvsgul,158
1997,Orkhon,220
1997,Selenge,153
1997,Sukhbaatar,99
1997,Tuv,137
1997,Ulaanbaatar,3174
1997,Umnugovi,79
1997,Uvs,152
1997,Uvurkhangai,182
1997,Zavkhan,145
1998,Arkhangai,139
1998,Bayan-Ulgii,122
1998,Bayankhongor,115
1998,Bulgan,103
1998,Darkhan-Uul,238
1998,Dornod,136
1998,Dornogovi,112
1998,Dundgovi,92
1998,Govi-Altai,116
1998,Govisumber,34
1998,Khentii,111
1998,Khovd,130
1998,Khuvsgul,164
1998,Orkhon,222
1998,Selenge,158
1998,Sukhbaatar,99
1998,Tuv,137
1998,Ulaanbaatar,3100
1998,Umnugovi,77
1998,Uvs,133
1998,Uvurkhangai,161
1998,Zavkhan,132
1999,Arkhangai,145
1999,Bayan-Ulgii,138
1999,Bayankhongor,121
1999,Bulgan,99
1999,Darkhan-Uul,248
1999,Dornod,136
1999,Dornogovi,108
1999,Dundgovi,92
1999,Govi-Altai,119
1999,Govisumber,36
1999,Khentii,114
1999,Khovd,132
1999,Khuvsgul,166
1999,Orkhon,225
1999,Selenge,164
1999,Sukhbaatar,100
1999,Tuv,128
1999,Ulaanbaatar,3375
1999,Umnugovi,81
1999,Uvs,140
1999,Uvurkhangai,164
1999,Zavkhan,131
2000,Arkhangai,140
2000,Bayan-Ulgii,132
2000,Bayankhongor,122
2000,Bulgan,101
2000,Darkhan-Uul,249
2000,Dornod,139
2000,Dornogovi,125
2000,Dundgovi,101
2000,Govi-Altai,132
2000,Govisumber,37
2000,Khentii,116
2000,Khovd,127
2000,Khuvsgul,163
2000,Orkhon,232
2000,Selenge,165
2000,Sukhbaatar,100
2000,Tuv,128
2000,Ulaanbaatar,3680
2000,Umnugovi,88
2000,Uvs,145
2000,Uvurkhangai,161
2000,Zavkhan,115
2001,Arkhangai,145
2001,Bayan-Ulgii,140
2001,Bayankhongor,117
2001,Bulgan,97
2001,Darkhan-Uul,255
2001,Dornod,146
2001,Dornogovi,137
2001,Dundgovi,101
2001,Govi-Altai,115
2001,Govisumber,35
2001,Khentii,126
2001,Khovd,135
2001,Khuvsgul,171
2001,Orkhon,243
2001,Selenge,173
2001,Sukhbaatar,97
2001,Tuv,130
2001,Ulaanbaatar,3760
2001,Umnugovi,94
2001,Uvs,136
2001,Uvurkhangai,162
2001,Zavkhan,124
2002,Arkhangai,134
2002,Bayan-Ulgii,147
2002,Bayankhongor,117
2002,Bulgan,107
2002,Darkhan-Uul,250
2002,Dornod,145
2002,Dornogovi,142
2002,Dundgovi,96
2002,Govi-Altai,120
2002,Govisumber,31
2002,Khentii,116
2002,Khovd,135
2002,Khuvsgul,171
2002,Orkhon,245
2002,Selenge,176
2002,Sukhbaatar,95
2002,Tuv,130
2002,Ulaanbaatar,3971
2002,Umnugovi,90
2002,Uvs,116
2002,Uvurkhangai,167
2002,Zavkhan,122
2003,Arkhangai,133
2003,Bayan-Ulgii,153
2003,Bayankhongor,123
2003,Bulgan,100
2003,Darkhan-Uul,225
2003,Dornod,135
