id,object_no,object_name,geom_type,lon,lat,Давхаргын төрөл,Нэр,Дүүрэг,Хороо,Хаягийн бүс,Гудамж
87603,,,Polygon,106.888305,47.918778,"Үерийн далан, суваг",,,,,
87604,,,Polygon,106.898567,47.923517,"Үерийн далан, суваг",,,,,
87605,,,Polygon,106.902402,47.928257,"Үерийн далан, суваг",,,,,
87606,,,Polygon,106.933077,47.973731,"Үерийн далан, суваг",,,,,
87607,,,Polygon,106.821547,47.922034,"Үерийн далан, суваг",,,,,
87608,,,Polygon,106.813648,47.925708,"Үерийн далан, суваг",,,,,
87609,,,Polygon,106.677028,47.842148,"Үерийн далан, суваг",,,,,
87610,,,Polygon,106.663304,47.826576,"Үерийн далан, суваг",,,,,
87611,,,Polygon,106.829707,47.961059,"Үерийн далан, суваг",,,,,
87612,,,Polygon,106.912093,47.878556,"Үерийн далан, суваг",,,,,
87613,,,Polygon,106.902945,47.879814,"Үерийн далан, суваг",,,,,
87614,,,Polygon,106.919337,47.879628,"Үерийн далан, суваг",,,,,
87615,,,Polygon,106.937761,47.950927,"Үерийн далан, суваг",,,,,
87616,,,Polygon,107.003705,47.910501,"Үерийн далан, суваг",,,,,
87617,,,Polygon,107.004424,47.91986,"Үерийн далан, суваг",,,,,
87618,,,Polygon,106.964994,47.913967,"Үерийн далан, суваг",,,,,
87619,,,Polygon,106.868013,47.928094,"Үерийн далан, суваг",,,,,
87620,,,Polygon,106.815222,47.919986,"Үерийн далан, суваг",,,,,
87621,,,Polygon,106.84863,47.908219,"Үерийн далан, суваг",,,,,
87622,,,Polygon,106.904114,47.937332,"Үерийн далан, суваг",,,,,
87623,,,Polygon,106.906579,47.945151,"Үерийн далан, суваг",,,,,
87624,,,Polygon,106.90843,47.939554,"Үерийн далан, суваг",,,,,
87625,,,Polygon,106.907737,47.934098,"Үерийн далан, суваг",,,,,
87626,,,Polygon,106.873617,47.896048,"Үерийн далан, суваг",,,,,
87627,,,Polygon,106.908768,47.954436,"Үерийн далан, суваг",,,,,
87628,,,Polygon,106.905849,47.971147,"Үерийн далан, суваг",,,,,
87629,,,Polygon,106.924532,47.938952,"Үерийн далан, суваг",,,,,
87630,,,Polygon,106.735341,47.931935,"Үерийн далан, суваг",,,,,
87631,,,Polygon,106.757653,47.905423,"Үерийн далан, суваг",,,,,
87632,,,Polygon,107.030656,47.906217,"Үерийн далан, суваг",???????? ????? ???? ?????? ?????? ???????????? ?????,,,,
87633,,,Polygon,107.022755,47.913554,"Үерийн далан, суваг",????????? ????? ?????? ???????????? ?????,,,,
87634,,,Polygon,107.029589,47.898206,"Үерийн далан, суваг",,,,,
87635,,,Polygon,106.868535,47.884095,"Үерийн далан, суваг",,,,,
87636,,,Polygon,106.926937,47.981828,"Үерийн далан, суваг",,,,,
87637,,,Polygon,106.98316,47.915266,"Үерийн далан, суваг",Зүүн уулын суваг,,,,
1765642,,,MultiPolygon,107.003746,47.910422,"Үерийн далан, суваг",Эрдэнэ толгой Ус-15 орчмыни үерийн хамгаалалтын суваг,Баянзүрх,"10-р хороо, 37-р хороо, 8-р хороо, 36-р хороо, 12-р хороо","Амгалан-2 /13270/, Шар хад-1 /13280/, Амгалан-1 /13260/, Амгалан-3 /13271/",Гачууртын зам
